title,category,subcategory,price,image_url,sizes_text,is_active
Japanese cargo shorts,Шорты/Юбки,,2500,https://sun9-28.vkuserphoto.ru/s/v1/ig2/Uf012F0JjUUOqXoBCobUHJ4WBvBXKfvimKTWXwhN0bRyLMy7jmnglr_GaF0lllGhe3GrkGjq9-wAD99oUg2cU6Vd.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Liquid Blue Grateful Dead '30 Years Anniversary ' t-shirt rare,Футболки/Лонгсливы/Рубашки,,4000,https://sun9-52.vkuserphoto.ru/s/v1/ig2/pEfQaWGq-zlMKeO166SKXvXGWsk4WlQC-1-3K7ENjWjxvCM-EtzXzVWKsDH9GU8hdzkJAjGD3mSYz29UfgFIEcLF.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Foo fighters,Футболки/Лонгсливы/Рубашки,,3500,https://sun9-65.userapi.com/s/v1/ig2/E_PzgaYqtfC3pU0o_4shgXMJSzJfG_gtkLtVSTqXtqK2QK5TGUYjU8f6K29yvK4F9hjoXRmcpePtHXWl1EY1bcJ_.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Футболка Lanvin,Футболки/Лонгсливы/Рубашки,,4000,https://sun9-6.userapi.com/s/v1/ig2/5dRRjDQoGRyLzZri-txd7ZzqUmdbl8jz-xUy3ZoalG_5Om52LVqLnF-sCsbdr3B8EP7Jc3f9zqQiPDGVuzkZoI7Y.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Лонгслив alexander mcqueen,Футболки/Лонгсливы/Рубашки,,5500,https://sun9-28.vkuserphoto.ru/s/v1/ig2/ILlqNeSz2LHtq6cHqlnWv-VpmShaHa6eYfdWtUfQtENfj4-Gd_7CNqSzd-6mSR0ie5eIZEreud6KR3WtoTOXXeNp.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Mortiis,Футболки/Лонгсливы/Рубашки,,2500,https://sun9-47.vkuserphoto.ru/s/v1/ig2/9MgJjAC2pFpgPVOuQ57uvMN85ISod3zR1tlYPp4BmAebNuyaoiOrWeaXi8Ncgt9Z8O3slHvxH7NvgJn7yud6TXwx.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Karl Kani,Футболки/Лонгсливы/Рубашки,,3500,https://sun9-69.vkuserphoto.ru/s/v1/ig2/BePUo2bFo6-NcNyjYS1PHQd2cji0yk0yolJnhrBqIKviIsDoDHON7dC6v3lmoiyqqr5NdA87-nyGCsSkqDcK1ECK.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Karl Kani,Футболки/Лонгсливы/Рубашки,,3500,https://sun9-86.vkuserphoto.ru/s/v1/ig2/8zcY7kJrKAg1x3bJ9ptCJlJ8SbCU640wVa7qej0aJ8Forj7kbBg6sEesgbYuyTa_floCSKsLfjoj1-aM194Gyk8f.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Baggy short,Шорты/Юбки,,3250,https://sun9-8.vkuserphoto.ru/s/v1/ig2/JTpJiy_UUu5JSdsLzEHfNxo7YPeu1tvcn5RsKt2ndj7IhsWtLhsC_dFbxxDTlLwRimkUIqZFVbp0k41a0VRXKyFb.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Baggy jeans short,Шорты/Юбки,,3250,https://sun9-51.vkuserphoto.ru/s/v1/ig2/Zo3s3642lXRcZjSUrNmeoxMP8_kWLB6A-R3fgWJic-_FpckE-iYyPblS9hTIfkmsW2ENStpbvPCTY0l824WyRdcf.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Sling bag,Сумки/Рюкзаки,,2500,https://sun9-45.vkuserphoto.ru/s/v1/ig2/GLWGHwcrDKQ9cmhvzLy5I8kAzd_pEFaQsqiW1B0mYGlJej5QZ1J1Xm5MQwA7mNFz-ms7djaFp8xZQFdViEqaF7g1.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Baggy jeans shorts,Шорты/Юбки,,3250,https://sun9-60.vkuserphoto.ru/s/v1/ig2/ZN9b8Se91wvFmi4AJNw6Xcuzjl_U5rG3CqX5pa_tV7t3kXGkHc9WfJiQkO0Q8Rv1bb7wIryHn7p7uHUEu5XT__xf.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Sling bag,Сумки/Рюкзаки,,2000,https://sun9-73.vkuserphoto.ru/s/v1/ig2/D5yOzyfR4ZQZKVjwg61PC_XXaG7ukq02mkpTjHymyETWyCsz3tVRYkcp8GIqFZ1GR4xfV-wuWCjPaMo2ogPJq6i9.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Nike big swoosh,Футболки/Лонгсливы/Рубашки,,3000,https://sun9-60.userapi.com/s/v1/ig2/CAUJP01lhXZzJBpT9fEqOkKj0pkzlEqE5fAacIqqlGDyTuLIj83vsECVsn4p-oJN9K_RBFt0TohYOzRfv9vfI0FX.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Nike basketball,Футболки/Лонгсливы/Рубашки,,3000,https://sun9-38.userapi.com/s/v1/ig2/J74VCoebIFYMnirELH7nyBnEO5Nv0eUW9SY3pe4cub613G4oPCCVIZINNR7RMul45FBnuptdyM7WA3aJuihbuuCY.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Футболка Mono Liza,Футболки/Лонгсливы/Рубашки,,2500,https://sun9-55.vkuserphoto.ru/s/v1/ig2/JYx_j9_ChKSAcAdVGT-aAtsav7ZaUpy5zCAA2Y0NThe8Dxb5zg1LebgWniQ3oP1lAvE4qxEmqBPvMau5SExg9KPS.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Футболка Alter bridge,Футболки/Лонгсливы/Рубашки,,2500,https://sun9-74.vkuserphoto.ru/s/v1/ig2/VOJHjJk0s3SfQT1r1-eYSY7ly1XvmnJx83sYHhEYX75nHvLn1CGfjpxvKGnaqPywbRsDPSg6BaIBuZIaLQ3K34q8.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Iron Maiden,Футболки/Лонгсливы/Рубашки,,2500,https://sun9-58.vkuserphoto.ru/s/v1/ig2/MpUzQBMCsLYcnaqBMy7zENNqh56qx34A1Gkx3FCxWiCUl3zfgaTsNJIsCVzPFAnGS_nNJateHnpd1QL7uRyiIiG6.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Yakuza футболка,Футболки/Лонгсливы/Рубашки,,2500,https://sun9-88.vkuserphoto.ru/s/v1/ig2/WnZBMXk7Ahzbe6YFSfVuZchJRoKWFcRPEWqD75mS3xIEkAbgMaZc4g9mcHzgLtDGYr7Tl2cUzM8xRYf1u3jLZdbg.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
